time_s,nodeId,eventType
1.604,2,Tx Ack
1.613,14,Rx Ack
1.613,14,Tx Ack
1.613,2,Rx Ack
1.660,14,Tx Ack
1.660,2,Rx Ack
1.660,2,Tx Ack
1.660,14,Rx Ack
1.660,14,Tx Ack
1.660,2,Rx Ack
4.901,0,Tx Ack
4.904,13,Rx Ack
4.904,13,Tx Ack
4.904,0,Rx Ack
4.960,13,Tx Ack
4.960,0,Rx Ack
4.960,0,Tx Ack
4.960,13,Rx Ack
4.960,13,Tx Ack
4.960,0,Rx Ack
8.204,7,Tx Ack
8.206,13,Rx Ack
8.206,13,Tx Ack
8.206,7,Rx Ack
8.260,13,Tx Ack
8.260,7,Rx Ack
8.260,7,Tx Ack
8.260,13,Rx Ack
8.260,13,Tx Ack
8.260,7,Rx Ack
8.507,11,Tx Ack
8.509,0,Rx Ack
8.509,0,Tx Ack
8.509,11,Rx Ack
8.560,0,Tx Ack
8.560,11,Rx Ack
8.560,11,Tx Ack
8.560,0,Rx Ack
8.560,0,Tx Ack
8.560,11,Rx Ack
9.709,12,Tx Ack
9.711,5,Rx Ack
9.711,5,Tx Ack
9.711,12,Rx Ack
9.760,5,Tx Ack
9.760,12,Rx Ack
9.760,12,Tx Ack
9.760,5,Rx Ack
9.760,5,Tx Ack
9.760,12,Rx Ack
10.001,11,Tx Ack
10.004,10,Rx Ack
10.004,10,Tx Ack
10.004,11,Rx Ack
10.060,10,Tx Ack
10.060,11,Rx Ack
10.060,11,Tx Ack
10.060,10,Rx Ack
10.060,10,Tx Ack
10.060,11,Rx Ack
11.207,10,Tx Ack
11.215,6,Rx Ack
11.215,6,Tx Ack
11.215,10,Rx Ack
11.260,6,Tx Ack
11.260,10,Rx Ack
11.260,10,Tx Ack
11.260,6,Rx Ack
11.260,6,Tx Ack
11.260,10,Rx Ack
12.102,7,Tx Ack
12.103,3,Rx Ack
12.103,3,Tx Ack
12.103,7,Rx Ack
12.160,3,Tx Ack
12.160,7,Rx Ack
12.160,7,Tx Ack
12.160,3,Rx Ack
12.160,3,Tx Ack
12.160,7,Rx Ack
13.004,7,Tx Ack
13.006,4,Rx Ack
13.006,4,Tx Ack
13.006,7,Rx Ack
13.060,4,Tx Ack
13.060,7,Rx Ack
13.060,7,Tx Ack
13.060,4,Rx Ack
13.060,4,Tx Ack
13.060,7,Rx Ack
15.408,2,Tx Ack
15.414,12,Rx Ack
15.414,12,Tx Ack
15.414,2,Rx Ack
15.460,12,Tx Ack
15.460,2,Rx Ack
15.460,2,Tx Ack
15.460,12,Rx Ack
15.460,12,Tx Ack
15.460,2,Rx Ack
17.804,10,Tx Ack
17.807,3,Rx Ack
17.807,3,Tx Ack
17.807,10,Rx Ack
17.860,3,Tx Ack
17.860,10,Rx Ack
17.860,10,Tx Ack
17.860,3,Rx Ack
17.860,3,Tx Ack
17.860,10,Rx Ack
18.108,8,Tx Ack
18.114,12,Rx Ack
18.114,12,Tx Ack
18.114,8,Rx Ack
18.160,12,Tx Ack
18.160,8,Rx Ack
18.160,8,Tx Ack
18.160,12,Rx Ack
18.160,12,Tx Ack
18.160,8,Rx Ack
18.702,1,Tx Ack
18.706,6,Rx Ack
18.706,6,Tx Ack
18.706,1,Rx Ack
18.760,6,Tx Ack
18.760,1,Rx Ack
18.760,1,Tx Ack
18.760,6,Rx Ack
18.760,6,Tx Ack
18.760,1,Rx Ack
19.310,6,Tx Ack
19.314,2,Rx Ack
19.314,2,Tx Ack
19.314,6,Rx Ack
19.360,2,Tx Ack
19.360,6,Rx Ack
19.360,6,Tx Ack
19.360,2,Rx Ack
19.360,2,Tx Ack
19.360,6,Rx Ack
20.208,11,Tx Ack
20.214,1,Rx Ack
20.214,1,Tx Ack
20.214,11,Rx Ack
20.260,1,Tx Ack
20.260,11,Rx Ack
20.260,11,Tx Ack
20.260,1,Rx Ack
20.260,1,Tx Ack
20.260,11,Rx Ack
20.805,8,Tx Ack
20.807,11,Rx Ack
20.807,11,Tx Ack
20.807,8,Rx Ack
20.860,11,Tx Ack
20.860,8,Rx Ack
20.860,8,Tx Ack
20.860,11,Rx Ack
20.860,11,Tx Ack
20.860,8,Rx Ack
22.601,6,Tx Ack
22.601,1,Rx Ack
22.601,1,Tx Ack
22.601,6,Rx Ack
22.659,1,Tx Data
22.659,1,Tx Data
22.660,6,Rx Data
22.660,6,Tx Ack
22.660,1,Tx Ack
22.660,6,Rx Data
22.660,6,Rx Ack
22.660,6,Tx Ack
22.661,1,Rx Ack
22.661,1,Rx Ack
22.661,1,Tx Ack
22.661,6,Rx Ack
22.903,14,Tx Ack
22.905,12,Rx Ack
22.905,12,Tx Ack
22.905,14,Rx Ack
22.960,12,Tx Ack
22.960,14,Rx Ack
22.960,14,Tx Ack
22.960,12,Rx Ack
22.960,12,Tx Ack
22.960,14,Rx Ack
24.102,4,Tx Ack
24.107,3,Rx Ack
24.107,3,Tx Ack
24.107,4,Rx Ack
24.160,3,Tx Ack
24.160,4,Rx Ack
24.160,4,Tx Ack
24.160,3,Rx Ack
24.160,3,Tx Ack
24.160,4,Rx Ack
24.409,13,Tx Ack
24.412,6,Rx Ack
24.412,6,Tx Ack
24.412,13,Rx Ack
24.460,6,Tx Ack
24.460,13,Rx Ack
24.460,13,Tx Ack
24.460,6,Rx Ack
24.460,6,Tx Ack
24.460,13,Rx Ack
26.202,9,Tx Ack
26.211,11,Rx Ack
26.211,11,Tx Ack
26.211,9,Rx Ack
26.260,11,Tx Ack
26.260,9,Rx Ack
26.260,9,Tx Ack
26.260,11,Rx Ack
26.260,11,Tx Ack
26.260,9,Rx Ack
27.105,12,Tx Ack
27.113,1,Rx Ack
27.113,1,Tx Ack
27.113,12,Rx Ack
27.160,1,Tx Ack
27.160,12,Rx Ack
27.160,12,Tx Ack
27.160,1,Rx Ack
27.160,1,Tx Ack
27.160,12,Rx Ack
28.904,6,Tx Ack
28.914,5,Rx Ack
28.914,5,Tx Ack
28.914,6,Rx Ack
28.960,5,Tx Ack
28.960,6,Rx Ack
28.960,6,Tx Ack
28.960,5,Rx Ack
28.960,5,Tx Ack
28.960,6,Rx Ack
29.808,0,Tx Ack
29.815,5,Rx Ack
29.815,5,Tx Ack
29.815,0,Rx Ack
29.860,5,Tx Ack
29.860,0,Rx Ack
29.860,0,Tx Ack
29.860,5,Rx Ack
29.860,5,Tx Ack
29.860,0,Rx Ack
32.808,13,Tx Ack
32.817,4,Rx Ack
32.817,4,Tx Ack
32.817,13,Rx Ack
32.860,4,Tx Ack
32.860,13,Rx Ack
32.860,13,Tx Ack
32.860,4,Rx Ack
32.860,4,Tx Ack
32.860,13,Rx Ack
33.108,13,Tx Ack
33.114,3,Rx Ack
33.114,3,Tx Ack
33.114,13,Rx Ack
33.160,3,Tx Ack
33.160,13,Rx Ack
33.160,13,Tx Ack
33.160,3,Rx Ack
33.160,3,Tx Ack
33.160,13,Rx Ack
33.708,9,Tx Ack
33.715,2,Rx Ack
33.715,2,Tx Ack
33.715,9,Rx Ack
33.760,2,Tx Ack
33.760,9,Rx Ack
33.760,9,Tx Ack
33.760,2,Rx Ack
33.760,2,Tx Ack
33.760,9,Rx Ack
35.810,1,Tx Ack
35.815,9,Rx Ack
35.815,9,Tx Ack
35.815,1,Rx Ack
35.860,9,Tx Ack
35.860,1,Rx Ack
35.860,1,Tx Ack
35.860,9,Rx Ack
35.860,9,Tx Ack
35.860,1,Rx Ack
37.605,0,Tx Ack
37.609,2,Rx Ack
37.609,2,Tx Ack
37.609,0,Rx Ack
37.660,2,Tx Ack
37.660,0,Rx Ack
37.660,0,Tx Ack
37.660,2,Rx Ack
37.660,2,Tx Ack
37.660,0,Rx Ack
38.802,3,Tx Ack
38.806,8,Rx Ack
38.806,8,Tx Ack
38.806,3,Rx Ack
38.860,8,Tx Ack
38.860,3,Rx Ack
38.860,3,Tx Ack
38.860,8,Rx Ack
38.860,8,Tx Ack
38.860,3,Rx Ack
40.601,14,Tx Ack
40.607,5,Rx Ack
40.607,5,Tx Ack
40.607,14,Rx Ack
40.660,5,Tx Ack
40.660,14,Rx Ack
40.660,14,Tx Ack
40.660,5,Rx Ack
40.660,5,Tx Ack
40.660,14,Rx Ack
40.901,0,Tx Ack
40.901,11,Rx Ack
40.901,11,Tx Ack
40.901,0,Rx Ack
40.959,11,Tx Data
40.959,11,Tx Data
40.960,0,Rx Data
40.960,0,Tx Ack
40.960,0,Rx Data
40.960,11,Tx Ack
40.960,11,Rx Ack
40.960,0,Rx Ack
40.960,0,Tx Ack
40.960,11,Rx Ack
